PopularSkills,NumberofDataProfiles
.NET,"5,399"
3D Rendering,"2,022"
Account Management,"13,486"
Account Sales,"2,857"
Accounting,"10,489"
Accounts Payable,"16,132"
Accounts Receivable,"17,077"
Activities for Children,"5,860"
Acute Care,"10,895"
Administration,"10,805"
Adobe After Effects,"1,437"
Adobe Illustrator,"6,707"
Adobe InDesign,"6,225"
Adobe Photoshop,"11,940"
ADP Payroll System,"2,191"
Advertising,"2,862"
Agile Software Development,"4,916"
Amazon Web Services (AWS),"1,847"
Anesthesia,"2,331"
Angular.js,"1,633"
Applicant Tracking System (ATS) Software,"2,463"
Applied Behavioral Analysis (ABA),"1,230"
ASP.NET Framework,"1,312"
Assembler,"2,497"
Assisted Living,"2,171"
Audio Visual Equipment Use,"1,054"
Auditing,"5,857"
Autism Spectrum Disorders (ASD),"1,555"
Autodesk AutoCAD,"13,383"
Autodesk AutoCAD Civil 3d,"1,692"
Autodesk Revit Architecture,"3,596"
Automotive Engine Repair,"2,753"
Banking,"3,277"
Benefits & Compensation,"7,616"
Benefits Administration,"4,806"
Big Data Analytics,"1,401"
Bill Collections,"3,767"
Billing,"10,582"
Biotechnology,"1,890"
Blueprints,"10,526"
Bookkeeping,"6,227"
Branding,"3,947"
Budget Management,"16,011"
Budgeting,"3,837"
Business Analysis,"9,475"
Business Development,"7,894"
Business Intelligence,"2,093"
Business Strategy,"4,965"
Business to Business (B2B) Sales,"1,203"
C Programming Language,"2,059"
C# Programming Language,"8,399"
C++ Programming Language,"4,976"
Cabinetry Installation,"1,639"
CAD/CAM,"1,104"
Call Center Operations,"2,528"
Cardiology,"2,936"
Cascading Style Sheets (CSS),"2,392"
Case Management,"13,622"
Cash Handling,"11,052"
Change Management,"1,267"
Chemical Process Engineering,"1,417"
Childhood Education,"9,197"
Cisco Networking,"2,743"
Claim Handling,"3,426"
Cleaning,"8,471"
Client Interaction,"19,441"
Clinical Education,"1,457"
Clinical Research,"2,534"
Clinical Supervision,"4,564"
Cloud Computing,"1,324"
CNC/NC,"2,458"
Commercial,"7,526"
Commercial Loans,"1,209"
Community Outreach / Activism,"1,918"
Computed Tomography (CT),"1,095"
Computer Aided Design (CAD),"6,606"
